3	250	1065
-122	187	-113
48	44	-170
39	-149	-164
37	-15	-101
-70	-50	-243
-68	-6	-73
120	196	213
-21	-74	-212
-130	-232	142
-218	-59	166
-96	-45	-56
87	-94	-149
113	154	-8
201	-218	-185
208	165	-233
-173	-220	-4
182	224	-71
14	-135	-108
-224	160	163
81	209	-24
23	-5	118
3	-165	-228
-26	8	135
-78	-2	3
101	241	213
-23	76	49
144	-104	-196
121	203	-197
100	-164	-227
106	-4	-126
-113	150	5
-194	183	-210
79	-175	-88
-1	-31	-86
-114	239	243
169	20	173
-24	242	238
242	-221	-211
-19	182	-219
109	52	201
-17	28	-91
-217	131	-142
77	35	158
-170	71	240
96	176	-105
-117	-40	241
-107	-195	229
185	226	57
-151	182	-179
194	-165	-171
12	77	-233
100	-140	156
-100	-72	31
-14	-65	226
188	-148	-210
52	-208	248
-245	-59	170
-206	-236	129
30	155	106
50	-35	-208
-180	-194	112
-208	222	130
184	78	-2
-104	93	-47
-21	-147	179
-133	86	-15
-65	219	214
-211	30	-164
-104	-196	-70
-45	-175	-63
45	35	54
51	94	-34
102	-248	-159
243	-63	195
229	-8	-25
10	25	-213
-128	-134	85
-41	250	119
-200	8	141
244	48	111
-197	-99	-115
-150	-39	-81
-106	-241	-230
-52	140	2
-46	28	-119
246	-242	-56
-57	51	-6
117	140	-197
92	166	26
164	153	-87
240	-54	125
12	219	76
223	249	169
160	-29	-80
-167	39	226
-188	151	232
245	-31	-82
-234	-109	190
207	88	-80
-175	-6	5
-8	142	2
245	-119	-95
-16	114	90
7	221	-104
53	182	-200
-159	89	-45
225	-72	-38
-51	164	30
158	-126	16
-205	15	204
57	-231	-124
20	-117	-23
224	-237	-84
49	34	78
86	-249	-54
-75	210	-107
-150	-81	114
-93	112	-36
-129	-164	-195
246	64	-239
176	-178	-100
-30	-26	-241
-193	-41	240
140	97	-19
73	49	-59
202	24	-89
-213	-85	-240
82	-170	-229
-177	37	43
192	194	-145
162	206	17
-215	-220	-156
143	4	-53
69	-2	236
207	-139	49
95	51	9
183	-16	-235
222	-114	-161
-224	-54	-238
65	-122	-74
-167	-68	12
-191	-111	78
-83	-171	-161
-230	-168	199
-152	192	-235
-186	-222	-24
10	88	63
134	96	-182
-191	68	-44
-3	-187	-112
-194	97	139
-169	-54	-123
-243	24	232
51	-9	-139
-15	-151	110
-43	81	-118
218	-216	215
-226	189	-129
-28	164	206
-88	-22	-5
218	190	222
-246	-89	-234
-65	155	-119
140	139	-146
-199	142	174
94	-56	-11
84	136	-221
247	161	-54
-98	244	54
146	-38	249
-140	-84	143
33	232	168
-153	-46	174
-122	10	21
32	-148	-147
117	107	220
-41	39	-100
-222	195	-146
-23	116	194
229	-16	200
-125	89	-56
-174	-134	-24
-104	120	-117
172	-43	-87
169	-219	-220
204	-101	-41
-182	158	-19
-128	-142	63
215	-62	126
-6	-96	84
-178	-167	-161
103	107	52
-64	-189	232
210	-147	184
-201	-205	34
107	84	-5
177	-115	201
-110	115	-23
196	-194	-78
231	97	143
109	-133	-144
-13	-133	-17
4	39	58
-171	221	-48
185	-233	36
137	-106	-195
-183	-231	-34
-142	-198	2
54	-145	-248
41	-77	-232
139	41	84
234	-3	-33
-231	94	-175
9	-96	-43
-5	237	-12
214	202	206
-100	18	-30
109	-16	75
-181	7	-212
-158	18	-145
85	218	-159
66	-114	-211
-77	-105	12
-17	69	15
136	200	45
-238	-203	15
89	-59	-144
46	-230	-245
66	147	-201
-108	10	192
-200	-27	12
-244	11	-62
27	-106	195
153	228	221
95	165	-104
95	-17	169
-111	225	-102
-138	-19	-83
-62	-158	-128
8	-131	-76
-139	-213	-137
106	168	-80
167	-10	-249
137	99	33
58	-194	80
-240	104	-185
91	-214	-242
35	-160	-243
-189	-122	32
226	230	-39
104	70	33
-201	145	42
-175	49	-194
-101	-21	-50
228	218	201
-195	-127	-101
55	115	50
132	-232	-112
5	-1	-215
-26	-110	-175
6	70	-75
12	-102	-104
-125	-80	142
-180	-159	-41
101	-238	-33
223	219	228
-36	-86	126
-49	22	153
231	188	-217
-195	-182	-168
135	-179	-99
136	-11	-10
-84	-199	-177
44	-120	-122
190	85	135
237	195	-20
9	-192	-5
173	36	-102
-35	66	-110
-110	14	-84
85	-107	-90
99	-199	87
7	-140	75
-99	-24	-161
208	39	250
186	-118	-226
171	-70	116
47	180	-221
-216	137	-234
113	53	-202
-232	30	102
-124	-225	143
71	-29	245
-1	-115	169
147	-104	-65
-82	-197	-188
-7	27	-218
-215	-86	-228
241	-127	-159
6	85	-237
185	-246	83
125	-176	-43
-239	-26	220
189	-28	86
19	-143	-153
-151	181	198
59	-174	-23
93	-187	-239
-158	-73	168
-61	-189	-198
165	94	-125
-209	-136	98
-194	-80	233
-73	49	189
-45	103	-46
187	230	-84
235	51	46
128	-226	111
-226	-231	51
22	15	196
-58	193	241
51	239	-133
-129	199	141
242	-35	-30
135	220	14
90	-95	-213
163	-36	205
211	-10	224
-150	241	66
-178	-167	234
-212	-86	116
141	79	136
121	-84	28
-125	85	18
-205	-191	-216
210	94	-48
176	160	-43
80	-125	-250
-134	93	18
-201	-238	222
-129	-135	-198
-140	-136	-126
98	-26	-4
30	-16	65
79	117	85
154	161	145
-67	-227	-239
72	6	212
48	-133	110
209	8	-143
-54	211	-87
52	129	150
-227	-142	-65
-31	-15	-50
167	-85	237
236	-182	5
-246	-181	196
204	-198	158
-185	167	139
-212	224	-99
-243	19	158
65	-86	-217
-26	-184	136
-57	135	-187
210	80	-217
-34	22	18
-227	84	-193
132	118	106
-38	108	192
-219	12	-139
-184	104	-189
59	-22	-41
174	97	2
86	-152	-160
-87	94	224
143	-213	-147
39	-222	-213
-214	-146	-24
-17	11	-38
138	123	8
154	241	-249
-242	-111	133
-132	154	-250
42	136	-185
244	200	-94
38	215	183
198	-7	115
-185	-92	209
108	38	214
13	111	225
-49	-150	249
235	-133	-20
154	147	72
-190	-189	-106
-179	243	-84
-187	-148	96
-199	-112	-164
198	-114	23
-87	166	42
-166	-247	14
195	87	-10
-71	-220	-249
-110	-134	73
236	-239	214
48	97	-29
-173	41	15
69	-151	-5
26	-244	-75
147	-112	-216
-142	-187	244
99	170	-129
-148	-171	-109
-94	14	237
146	8	224
8	-9	49
-91	-28	215
178	-39	-238
29	-35	239
127	-98	-107
213	-217	-233
57	58	189
89	-205	118
51	20	93
-138	161	143
-218	-225	68
112	42	94
-130	-151	75
-55	27	85
192	-204	30
186	166	16
-39	227	44
3	-157	-8
-143	207	11
-97	-45	-29
-168	64	143
-185	-106	235
84	240	168
75	-210	-27
-161	-33	175
166	76	-118
66	-194	40
-63	5	18
51	171	-44
-208	166	-13
186	21	247
238	-144	199
54	-7	-125
-155	36	-141
-178	-70	-62
111	-138	187
112	-178	159
179	9	109
-23	-235	-131
60	110	63
-37	160	153
-239	-127	-20
249	-115	232
202	191	-45
-75	164	-87
152	72	46
-147	-33	189
140	178	-239
-183	236	-97
205	142	-114
-178	-180	220
-35	130	-47
98	185	-154
243	-239	-174
-40	-170	-132
52	139	90
35	147	-202
-57	217	-182
148	-45	-227
-62	174	112
-103	-128	211
-15	183	219
-214	70	55
133	-176	153
-51	58	210
-235	104	164
-18	60	246
-76	-239	79
-238	-17	34
-177	176	88
172	73	-192
-148	36	47
-152	-98	-61
87	215	211
-150	-32	12
76	-88	-172
4	-71	-225
-122	114	95
127	181	-37
-173	200	184
12	178	-204
33	-171	118
-204	247	209
12	21	-67
-21	-132	-204
-220	-148	191
31	168	201
-67	-47	24
215	-158	120
84	-250	-210
-24	-177	78
-47	206	243
62	136	-90
138	53	135
86	-200	114
225	-11	-248
127	21	-128
162	-80	-82
228	52	223
227	-145	38
-161	-163	34
-81	-91	29
-155	121	126
-156	-100	-91
216	189	-43
27	189	145
69	-177	-199
144	39	-28
-58	181	-248
47	24	-148
-72	53	-114
74	181	136
-180	-171	59
106	-247	15
-63	192	96
137	103	175
210	-142	-218
-116	94	166
9	155	-103
-95	71	-189
-63	-169	-72
-24	-129	-32
-237	91	39
8	24	244
107	141	72
15	-145	-22
226	-156	69
-204	134	-133
81	-44	-171
-75	10	-108
250	-69	-84
212	-131	121
-73	92	-151
103	-165	-230
241	-64	-142
38	-210	-15
-87	-192	-49
224	-45	29
61	-103	27
173	-117	79
10	2	-248
-193	-209	-171
-179	140	-187
69	74	-39
-112	36	-31
-229	-110	247
-205	77	-78
-18	-247	-132
-141	22	220
94	-229	-119
119	147	-79
234	-79	39
-54	-222	104
81	-68	-78
133	-91	174
220	-84	239
10	-183	-190
155	-48	116
64	109	142
-247	-195	10
217	-243	-90
24	124	141
-226	-165	-150
-48	212	-50
26	72	99
-137	35	-2
177	-72	-67
103	120	-99
-193	151	208
-146	-117	-104
3	38	207
198	191	-78
198	111	-90
-43	55	-94
-32	-192	-50
57	-189	239
19	-141	-193
-67	-102	-62
-99	-191	228
-126	223	-216
127	-164	91
118	196	174
12	108	180
-246	112	-18
-247	179	180
-114	231	-201
-237	214	74
-239	36	-222
245	103	-96
-221	73	-77
-188	148	161
17	-88	-220
-204	-237	-29
159	-149	239
-153	132	-137
159	220	-68
75	-124	6
37	166	-240
-202	250	-42
-5	-157	85
-62	45	-85
47	-188	66
56	19	195
-190	-36	34
184	230	195
-134	182	-124
-161	-108	-175
-4	216	175
233	-200	44
-55	-115	248
-79	-16	50
189	144	-218
-20	124	93
203	-54	246
125	-99	-12
-201	-247	180
-92	-124	-7
-225	-117	227
122	241	134
-131	185	-217
-22	-8	-194
-241	-3	48
131	183	158
187	223	-86
-188	221	-81
102	135	146
220	76	59
-59	204	199
-61	248	23
42	-5	-83
11	-79	-157
26	240	22
101	15	237
126	-73	-59
-64	145	-4
196	64	-27
65	-145	-181
125	37	7
-148	229	155
-128	-64	-189
78	195	-56
-45	-112	69
-217	-73	-42
-56	81	124
-5	165	-188
-185	-123	-132
-165	-22	-40
238	-214	-61
175	-244	74
173	-208	25
-47	86	-192
-107	-241	-191
-134	-212	151
187	-166	81
-122	-137	-243
-216	-44	229
77	-79	45
204	108	-230
192	-239	137
57	120	-238
-192	-232	-29
226	-216	79
39	186	-160
239	231	-199
-225	59	68
-196	-50	-66
224	-196	-170
105	5	-87
-225	-11	106
-122	110	167
22	-18	74
-42	216	-241
-112	-121	-212
-74	110	-246
-37	155	241
228	-115	79
96	-243	36
43	66	173
-239	87	-168
115	53	-105
-167	234	63
66	-131	-7
153	9	25
133	-2	-125
1	-100	-193
53	120	-183
-129	181	98
94	183	74
155	-141	88
170	192	172
-61	-100	245
211	-92	40
-123	-69	3
32	92	152
191	-41	34
-238	-214	-180
-92	-168	-235
-202	99	-29
215	-77	-57
-209	-137	217
72	-236	83
-144	-60	-207
88	144	31
-81	-63	153
65	-137	-236
-151	-200	-220
-22	-94	-248
-160	-59	-83
-17	-6	-243
18	-207	-58
-237	138	136
-145	142	-180
-81	-29	-209
93	-236	139
6	-173	-238
-249	163	-113
-220	-13	-125
49	-236	-23
142	241	-228
61	-81	-56
24	143	137
-245	-24	-144
164	12	201
-52	232	-122
208	-170	231
244	44	141
-15	79	-5
100	-171	5
142	-34	239
-195	-119	-23
179	-215	217
79	-248	100
76	5	28
87	-197	-43
-178	154	72
123	-6	89
-152	-238	209
-60	-148	93
226	149	144
-229	11	-169
-51	-94	-217
-249	69	193
23	113	-233
217	226	-83
-207	-4	202
86	233	133
-8	120	-119
35	-100	34
201	181	10
-225	248	-40
215	208	204
147	-17	195
-187	1	122
4	219	18
